epoch,train_loss,val_loss,best_model
1,11.911359,14.421365,True
2,7.563942,17.052876,False
3,7.243431,9.226859,True
4,6.972865,11.643205,False
5,6.647743,14.867646,False
6,6.384291,12.202265,False
7,6.254845,13.353319,False
8,6.053223,12.922781,False
9,5.991884,12.332719,False
10,5.92372,12.399943,False
11,5.840043,14.580799,False
12,5.631211,11.654761,False
13,5.643875,11.105746,False
14,5.596994,11.749135,False
15,5.538187,12.218196,False
16,5.444009,12.146919,False
17,5.422484,12.498255,False
18,5.395169,12.558285,False
19,5.378711,12.061321,False
20,5.35029,13.214738,False
21,5.301586,11.320542,False
22,5.349125,11.634238,False
23,5.341323,12.671955,False
24,5.288389,12.128619,False
25,5.302264,12.959861,False
26,5.284485,12.770659,False
27,5.250362,12.214857,False
28,5.293819,12.751018,False
29,5.242322,12.057155,False
