epoch,train_loss,val_loss,best_model
1,611.700441,189.221793,True
2,315.353639,204.368689,False
3,284.944845,203.408946,False
4,280.32178,176.216357,True
5,273.829271,204.904738,False
6,264.023537,202.259062,False
7,251.470254,219.812666,False
8,247.985367,161.114675,True
9,243.600073,199.683746,False
10,239.243088,233.115073,False
11,235.757914,224.122348,False
12,234.941776,182.397124,False
13,210.628249,189.805977,False
14,211.556968,223.236271,False
15,210.225266,191.35196,False
16,203.665376,206.551668,False
17,198.231192,188.236424,False
18,193.088756,176.510426,False
19,189.83287,188.065592,False
20,191.216072,178.769258,False
21,184.346428,180.253126,False
22,182.306215,185.772867,False
23,184.293951,185.830322,False
24,181.729093,185.787128,False
25,181.128405,178.868454,False
26,178.404263,179.6685,False
27,177.467073,180.187798,False
28,176.478944,175.822959,False
29,177.167891,178.241593,False
30,178.333154,173.498454,False
