epoch,train_loss,val_loss,best_model
1,1383.263035,299.832331,True
2,185.084095,323.394483,False
3,171.255545,334.99249,False
4,147.726895,252.133282,True
5,142.376765,274.777199,False
6,137.31311,303.782979,False
7,125.003953,259.581566,False
8,121.716916,252.82295,False
9,113.506108,250.989864,True
10,110.727205,250.440133,True
11,111.090736,251.808139,False
12,108.276041,248.515637,True
13,108.237038,250.255599,False
14,106.007087,259.587443,False
15,101.36647,262.111989,False
16,102.064447,267.928978,False
17,100.467738,256.188513,False
18,99.262982,289.183758,False
19,98.525235,270.528766,False
20,96.989461,266.054124,False
