epoch,train_loss,val_loss,best_model
1,34.911746,14.612441,True
2,10.557506,17.073368,False
3,9.718207,15.461866,False
4,9.022517,14.108721,True
5,8.802081,13.130791,True
6,8.535262,12.333157,True
7,8.337072,11.315922,True
8,8.224883,13.662421,False
9,8.105084,11.860227,False
10,7.833886,12.936957,False
11,7.661527,12.12213,False
12,7.519333,11.112536,True
13,7.514961,11.584487,False
14,7.384053,11.470925,False
15,7.345946,11.153769,False
16,7.312739,12.275209,False
17,7.258321,11.404454,False
18,7.2635,11.611985,False
19,7.276921,12.173047,False
20,7.292174,11.813597,False
21,7.294591,11.992586,False
22,7.263925,11.648891,False
23,7.21688,11.827329,False
24,7.283894,12.049442,False
25,7.223625,11.478374,False
