epoch,train_loss,val_loss,best_model
1,25.934608,20.829815,True
2,11.890289,15.693958,True
3,11.414073,17.002037,False
4,11.053972,19.803053,False
5,10.843639,16.177957,False
6,10.689422,15.746408,False
7,10.472401,16.778375,False
8,10.344696,15.938664,False
9,10.243969,15.350109,True
10,10.299268,15.63607,False
11,10.21211,15.125906,True
12,10.141414,15.330857,False
13,10.076968,14.342202,True
14,10.091363,13.965362,True
15,10.055187,15.191654,False
16,9.950609,14.950747,False
17,9.916243,15.652647,False
18,9.836479,15.261716,False
19,9.684067,14.994479,False
20,9.66422,15.293269,False
