epoch,train_loss,val_loss,best_model
1,12.976087,8.306272,True
2,4.617532,7.275785,True
3,3.830062,8.796078,False
4,3.453961,8.961834,False
5,3.258216,8.488442,False
6,3.068621,8.549231,False
7,2.80909,9.42569,False
8,2.463372,9.214134,False
9,2.357008,8.003735,False
10,2.233267,10.940043,False
11,2.161073,9.804128,False
12,2.051612,10.047914,False
13,1.902805,9.069754,False
14,1.850515,8.21464,False
15,1.776353,7.801518,False
16,1.732686,7.491266,False
17,1.700242,7.245049,True
18,1.656035,6.929056,True
19,1.617669,8.23158,False
20,1.554728,8.527603,False
21,1.532532,7.281791,False
22,1.500609,9.421069,False
23,1.488544,8.036926,False
24,1.417646,8.11817,False
25,1.387888,7.201548,False
26,1.384532,7.551043,False
27,1.354282,7.87863,False
28,1.379908,9.487161,False
29,1.326355,7.862027,False
30,1.318692,8.49391,False
31,1.299391,7.85507,False
32,1.290434,8.00167,False
33,1.305576,7.209641,False
34,1.267253,8.375754,False
35,1.268531,8.779161,False
36,1.27474,8.180507,False
37,1.273396,8.371109,False
38,1.272507,6.912624,True
39,1.257748,8.498393,False
40,1.255892,8.385166,False
41,1.24759,8.634016,False
42,1.241272,8.240541,False
43,1.254502,7.884351,False
44,1.225467,8.071968,False
45,1.23801,8.039834,False
46,1.214535,7.828391,False
47,1.229841,7.761941,False
48,1.233733,7.712884,False
49,1.243546,7.823395,False
