epoch,train_loss,val_loss,best_model
1,713.669185,397.308667,True
2,334.365399,307.445041,True
3,309.257275,353.999651,False
4,291.675623,277.347777,True
5,280.912169,309.86979,False
6,274.984042,312.356999,False
7,257.074928,288.817267,False
8,253.399481,277.073976,True
9,249.217428,280.989614,False
10,245.958933,274.658607,True
11,240.437941,281.526235,False
12,238.865199,299.77982,False
13,231.725437,292.031968,False
14,227.99858,279.378328,False
15,222.424447,283.743687,False
16,222.345279,272.098272,True
17,218.957229,278.665287,False
18,220.598145,281.710291,False
19,217.724932,268.364433,True
20,219.010771,269.586956,False
